created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-02-12 13:42:54+00:00,1,,,,,,,,
2025-02-12 13:43:54+00:00,2,28.77,29.62,29.99,30.85,31.44,32.2,32.81,33.61
2025-02-12 13:44:10+00:00,3,28.82,29.67,30.09,30.91,31.52,32.25,32.88,33.72
2025-02-12 13:44:25+00:00,4,31.71,32.52,32.89,33.69,34.26,34.94,35.51,36.26
2025-02-12 13:44:41+00:00,5,32.79,33.6,33.93,34.73,35.28,35.97,36.51,37.27
2025-02-12 13:44:57+00:00,6,30.25,31.1,31.52,32.38,33.0,33.74,34.36,35.20
2025-02-12 13:45:12+00:00,7,29.79,30.61,31.03,31.89,32.5,33.25,33.86,34.69
2025-02-12 13:45:28+00:00,8,29.53,30.34,30.73,31.57,32.19,32.93,33.54,34.29
2025-02-12 13:45:43+00:00,9,29.34,30.26,30.7,31.55,32.19,32.95,33.59,34.45
2025-02-13 05:18:06+00:00,10,57.0,,,,,,,
2025-02-13 05:18:30+00:00,11,27.86,32.3,31.47,30.94,16.84,28.66,33.73,-56.51
2025-02-13 05:18:46+00:00,12,,28.7,33.76,-56.17,,,,
2025-02-13 05:22:21+00:00,13,27.99,45.8,32.96,29.98,33.94,18.15,35.86,-55.68
2025-02-13 05:22:36+00:00,14,27.95,47.55,33.17,30.19,30.55,18.02,36.24,-55.60
2025-02-13 05:22:52+00:00,15,,17.46,36.59,-55.68,,,,
2025-02-13 05:23:08+00:00,16,27.93,52.59,33.65,29.41,29.95,17.33,37.16,-57.49
2025-02-13 05:23:23+00:00,17,,16.95,37.63,-56.43,,,,
2025-02-13 05:23:39+00:00,18,,16.72,38.11,-55.6,,,,
2025-02-13 05:23:54+00:00,19,27.89,59.32,34.36,29.85,29.94,16.46,38.43,-56.17
2025-02-13 05:24:10+00:00,20,27.84,61.52,34.77,29.59,30.04,16.26,39.05,-55.84
2025-02-13 05:24:26+00:00,21,27.78,63.65,35.18,30.45,30.82,16.19,39.52,-56.26
2025-02-13 05:24:41+00:00,22,,16.09,40.27,-56.86,,,,
2025-02-13 05:24:57+00:00,23,27.74,67.71,35.93,31.16,31.8,16.06,40.63,-56.01
2025-02-13 05:25:12+00:00,24,27.68,69.35,36.32,31.37,32.07,15.96,41.03,-56.17
2025-02-13 05:25:27+00:00,25,27.64,71.1,36.64,32.15,32.76,16.03,41.35,-56.09
2025-02-13 05:25:43+00:00,26,,15.9,41.58,-55.92,,,,
2025-02-13 05:25:58+00:00,27,27.54,73.99,37.13,32.69,33.43,15.92,41.79,-56.01
2025-02-13 05:26:14+00:00,28,27.44,75.44,37.41,34.4,34.66,15.85,41.96,-56.09
2025-02-13 05:26:29+00:00,29,27.46,76.81,37.8,33.69,34.34,15.84,42.31,-56.95
2025-02-13 05:26:45+00:00,30,27.35,78.11,38.26,34.63,35.09,15.92,42.69,-56.60
2025-02-13 05:27:00+00:00,31,,15.95,43.13,-56.17,,,,
2025-02-13 05:27:16+00:00,32,27.32,80.42,39.2,35.64,36.06,16.03,43.61,-55.44
2025-02-13 05:27:31+00:00,33,27.35,81.37,39.6,35.53,36.36,16.04,43.91,-55.52
2025-02-13 05:27:47+00:00,34,,16.0,44.25,-56.17,,,,
2025-02-13 05:28:02+00:00,35,,16.12,44.27,-56.01,,,,
2025-02-13 05:28:18+00:00,36,,16.23,44.67,-55.92,,,,
2025-02-13 05:28:33+00:00,37,27.2,84.81,40.85,38.13,37.82,16.33,44.92,-55.76
2025-02-13 05:28:48+00:00,38,0.5,41.1,37.84,38.36,16.47,45.28,-56.26,
2025-02-13 05:29:04+00:00,39,27.16,85.61,41.08,35.84,33.83,16.63,45.59,-53.58
2025-02-13 05:29:19+00:00,40,,16.87,45.73,-55.2,,,,
2025-02-13 05:29:34+00:00,41,,16.87,45.97,-54.15,,,,
2025-02-13 05:29:49+00:00,42,27.13,85.7,41.56,32.12,30.55,17.18,46.06,-56.34
2025-02-13 05:30:04+00:00,43,27.1,85.75,41.47,32.99,34.3,17.29,46.34,-53.72
2025-02-13 05:30:20+00:00,44,,17.34,46.21,-53.86,,,,
2025-02-13 05:30:35+00:00,45,27.2,85.61,41.39,31.88,32.59,17.37,46.35,-56.51
2025-02-13 05:30:51+00:00,46,27.19,85.61,41.42,30.69,31.82,17.45,46.26,-53.86
2025-02-13 05:31:06+00:00,47,27.16,85.51,41.52,29.76,30.84,17.44,46.22,-53.65
2025-02-13 05:31:22+00:00,48,27.11,85.62,41.86,28.33,29.72,17.56,46.36,-53.86
2025-02-13 05:31:38+00:00,49,,17.74,46.74,-54.29,,,,
2025-02-13 05:31:53+00:00,50,,17.9,47.29,-53.44,,,,
2025-02-13 05:32:09+00:00,51,27.28,85.84,41.65,30.96,31.68,17.93,47.47,-52.57
2025-02-13 05:32:25+00:00,52,,18.0,48.04,-52.9,,,,
2025-02-13 05:32:40+00:00,53,27.26,86.05,41.75,34.19,34.41,18.11,48.07,-53.51
2025-02-13 05:32:56+00:00,54,0.95,41.39,34.23,34.75,18.09,47.83,-53.17,
2025-02-13 05:33:11+00:00,55,27.22,85.83,41.1,33.86,34.6,18.12,47.70,-53.03
2025-02-13 05:33:27+00:00,56,27.23,85.81,41.54,32.37,33.39,18.14,48.05,-53.51
2025-02-13 05:33:43+00:00,57,27.12,85.66,41.6,33.12,20.11,18.21,48.09,-53.72
2025-02-13 05:33:58+00:00,58,27.17,85.68,41.16,32.56,30.29,18.25,47.97,-52.97
2025-02-13 05:34:14+00:00,59,27.1,85.72,41.63,32.56,29.53,18.3,48.15,-57.31
2025-02-13 05:34:29+00:00,60,,18.4,48.7,-52.9,,,,
2025-02-13 05:34:45+00:00,61,27.11,86.03,42.08,32.84,33.26,18.42,48.59,-53.58
2025-02-13 05:35:01+00:00,62,,18.5,48.95,-53.17,,,,
2025-02-13 05:35:16+00:00,63,27.17,85.79,41.76,31.72,32.59,18.53,48.82,-52.84
2025-02-13 05:35:32+00:00,64,,18.61,48.84,-52.9,,,,
2025-02-13 05:35:47+00:00,65,27.14,85.66,41.75,17.74,20.49,18.72,49.02,-53.51
2025-02-13 05:36:02+00:00,66,27.16,85.64,41.76,20.11,21.39,18.73,49.04,-53.37
2025-02-13 05:36:18+00:00,67,27.17,85.84,41.83,23.67,20.86,18.75,49.56,-54.29
2025-02-13 05:36:34+00:00,68,27.17,86.2,41.76,25.52,14.98,18.84,49.79,-53.51
2025-02-13 05:36:49+00:00,69,27.18,86.25,41.78,27.86,31.73,19.04,49.90,19.32
2025-02-13 05:37:04+00:00,70,27.18,86.76,41.69,-51.45,12.66,19.07,50.33,19.05
2025-02-13 05:37:19+00:00,71,0.92,,,,,,,
2025-02-13 05:37:35+00:00,72,26.89,86.76,41.65,29.56,28.33,19.17,50.68,18.76
2025-02-13 05:37:53+00:00,73,26.8,86.87,41.31,33.06,32.74,19.21,50.72,18.54
2025-02-13 05:38:08+00:00,74,0.2,50.9,18.48,,,,,
2025-02-13 05:38:23+00:00,75,26.63,86.99,40.84,30.64,29.53,19.16,51.08,18.38
2025-02-13 05:38:39+00:00,76,26.63,87.33,41.04,30.01,30.95,19.33,51.09,18.38
2025-02-13 05:38:54+00:00,77,9.35,51.35,18.44,,,,,
2025-02-13 05:39:09+00:00,78,26.71,87.45,41.31,30.75,27.61,19.43,51.47,18.43
2025-02-13 05:39:25+00:00,79,26.73,87.66,41.66,32.11,32.72,19.67,52.03,18.35
2025-02-13 05:39:40+00:00,80,26.83,88.05,42.38,32.1,33.02,19.75,52.23,18.36
2025-02-13 05:39:56+00:00,81,26.74,88.19,42.71,31.81,32.9,19.87,52.41,18.27
2025-02-13 05:40:12+00:00,82,0.95,52.71,18.15,,,,,
2025-02-13 05:40:27+00:00,83,26.88,88.45,43.44,31.24,20.37,20.19,52.97,18.12
2025-02-13 05:40:43+00:00,84,26.91,88.63,43.93,31.04,27.2,20.37,53.24,18.05
