created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-02-14 08:00:15+00:00,1406,4.21,22.1,28.89,,,,,
2025-02-14 08:00:30+00:00,1407,67.34,52.23,37.63,76.04,29.14,53.46,22.78,29.06
2025-02-14 08:00:46+00:00,1408,63.43,52.16,37.4,76.06,29.46,57.79,23.27,29.25
2025-02-14 08:01:02+00:00,1409,60.68,51.97,36.93,75.87,29.77,60.15,23.88,29.38
2025-02-14 08:01:18+00:00,1410,58.03,51.49,36.86,75.48,30.09,62.18,24.55,29.39
2025-02-14 08:01:33+00:00,1411,56.63,51.38,36.95,75.49,30.25,63.71,24.88,29.32
2025-02-14 08:01:48+00:00,1412,54.71,50.81,36.82,75.1,30.48,65.58,25.4,29.32
2025-02-14 08:02:03+00:00,1413,6.55,25.86,29.3,,,,,
2025-02-14 08:02:19+00:00,1414,52.24,50.27,37.44,74.84,30.85,67.67,26.38,29.29
2025-02-14 08:02:34+00:00,1415,8.63,26.88,29.24,,,,,
2025-02-14 08:02:49+00:00,1416,50.26,49.49,37.71,74.88,31.09,69.63,27.16,29.23
2025-02-14 08:03:05+00:00,1417,49.66,49.16,37.54,74.83,31.1,70.33,27.59,29.16
2025-02-14 08:03:21+00:00,1418,53.56,48.7,37.17,74.68,31.19,62.73,24.07,29.17
2025-02-14 08:03:36+00:00,1419,9.43,17.99,29.15,,,,,
2025-02-14 08:03:52+00:00,1420,8.0,13.14,28.86,,,,,
2025-02-14 08:04:07+00:00,1421,71.46,47.61,37.78,73.38,26.72,56.75,11.83,28.64
2025-02-14 08:04:26+00:00,1422,73.3,47.44,37.87,72.1,25.78,55.24,15.79,28.54
2025-02-14 08:04:42+00:00,1423,5.18,16.96,28.55,,,,,
2025-02-14 08:04:58+00:00,1424,74.59,47.56,37.08,71.51,24.63,55.1,17.87,28.26
2025-02-14 08:05:14+00:00,1425,75.21,47.8,36.26,71.21,24.29,54.73,18.41,28.05
2025-02-14 08:05:29+00:00,1426,4.7,18.58,27.93,,,,,
2025-02-14 08:05:44+00:00,1427,77.26,47.78,35.94,70.7,23.29,55.1,18.61,27.77
2025-02-14 08:06:00+00:00,1428,78.26,47.8,36.67,70.67,22.85,55.28,18.43,27.72
2025-02-14 08:06:15+00:00,1429,79.48,47.97,36.26,70.93,22.8,55.0,18.33,27.55
2025-02-14 08:06:31+00:00,1430,80.42,47.97,35.6,71.1,22.65,55.37,18.38,27.43
2025-02-14 08:06:46+00:00,1431,5.36,18.4,27.18,,,,,
2025-02-14 08:07:01+00:00,1432,82.14,48.32,35.33,71.6,22.19,55.69,18.39,27.16
2025-02-14 08:07:17+00:00,1433,82.82,48.43,35.54,71.98,22.17,55.21,18.7,27.02
2025-02-14 08:07:34+00:00,1434,83.34,48.58,36.09,72.14,22.07,55.06,18.68,26.99
2025-02-14 08:07:49+00:00,1435,83.96,48.77,36.56,72.39,21.95,54.95,18.73,26.74
2025-02-14 08:08:05+00:00,1436,84.49,48.96,34.78,72.8,21.92,54.89,18.5,26.86
2025-02-14 08:08:20+00:00,1437,84.97,48.99,35.32,73.05,21.86,55.18,18.63,26.74
2025-02-14 08:08:36+00:00,1438,5.0,18.63,26.55,,,,,
2025-02-14 08:08:51+00:00,1439,85.44,49.2,34.35,73.54,21.85,54.4,18.61,26.53
2025-02-14 08:09:06+00:00,1440,85.66,49.23,34.58,73.81,21.79,54.81,18.77,26.49
2025-02-14 08:09:22+00:00,1441,85.94,49.39,35.34,74.04,21.86,55.02,18.51,26.46
2025-02-14 08:09:37+00:00,1442,86.51,49.57,35.91,74.21,21.78,55.03,18.4,26.49
2025-02-14 08:09:53+00:00,1443,4.92,18.39,26.38,,,,,
2025-02-14 08:10:08+00:00,1444,86.46,49.86,36.17,74.41,21.84,54.85,18.4,26.31
2025-02-14 08:10:23+00:00,1445,86.87,49.86,35.88,74.54,21.8,54.64,18.3,26.39
2025-02-14 08:10:39+00:00,1446,4.81,18.2,26.38,,,,,
